City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Hermanus,ZA,49.8,broken clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
2,Norman Wells,CA,66.24,broken clouds,65.282,-126.8329,Heritage Hotel
3,Awka,NG,73.09,light rain,6.2101,7.0741,Best Western Meloch Hotel
4,Ushuaia,AR,38.86,clear sky,-54.8,-68.3,Albatross Hotel
5,Kaeo,NZ,53.33,few clouds,-35.1,173.7833,Bushido Lodge
7,Hualmay,PE,63.63,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
8,Estelle,US,91.0,broken clouds,29.8458,-90.1067,Ohio
9,Ribeira Grande,PT,74.46,light rain,38.5167,-28.7,Quinta da Meia Eira
10,Bredasdorp,ZA,53.42,few clouds,-34.5322,20.0403,Bredasdorp Country Manor
11,Mar Del Plata,AR,47.08,scattered clouds,-38.0023,-57.5575,Gran Hotel Mar del Plata
12,Lagoa,PT,73.81,light rain,39.05,-27.9833,Casa Das Faias
13,Leningradskiy,RU,32.45,light snow,69.3833,178.4167,Gostinitsa
14,Mataura,NZ,36.48,clear sky,-46.1927,168.8643,Ellie's Villa
15,Kamien Pomorski,PL,59.36,scattered clouds,53.9685,14.7726,Mieszko II
16,Arraial Do Cabo,BR,73.36,light rain,-22.9661,-42.0278,Pousada Porto Praia
17,Honiara,SB,82.83,overcast clouds,-9.4333,159.95,Heritage Park Hotel
18,Port Elizabeth,ZA,61.32,light intensity drizzle,-33.918,25.5701,39 On Nile Guest House
19,Port Alfred,ZA,61.18,overcast clouds,-33.5906,26.891,The Halyards Hotel
20,Lerwick,GB,53.6,overcast clouds,60.1545,-1.1494,The Lerwick Hotel
21,Langham,CA,82.24,broken clouds,52.3668,-106.9679,Shady Rest Motel
22,Butaritari,KI,82.0,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
23,Kapaa,US,82.72,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort Hotel
24,Aklavik,CA,52.65,overcast clouds,68.2191,-135.0107,Aklavik Inn
25,Ponta Do Sol,PT,72.72,clear sky,32.6667,-17.1,Hotel do Campo
26,Mnogovershinnyy,RU,58.89,overcast clouds,53.9353,139.9242,Obshchezhitiye 14
27,Hirara,JP,84.2,clear sky,24.8,125.2833,Hotel Atoll Emerald Miyakojima
29,Carnarvon,AU,61.75,clear sky,-24.8667,113.6333,Hospitality Carnarvon
30,Rikitea,PF,72.52,overcast clouds,-23.1203,-134.9692,People ThankYou
31,Thompson,CA,77.16,broken clouds,55.7435,-97.8558,Burntwood Hotel
32,Punta Arenas,CL,39.31,few clouds,-53.15,-70.9167,Hotel Hain
33,Antsohihy,MG,65.84,scattered clouds,-14.8796,47.9875,Hotel de Ville
34,Black Diamond,US,91.26,clear sky,47.3087,-122.0032,Lake Sawyer RV Resort
35,Cayenne,GF,84.24,clear sky,4.9333,-52.3333,Hôtel Le Dronmi
36,Cidreira,BR,58.77,overcast clouds,-30.1811,-50.2056,Hotel Castelo
37,Atyrau,KZ,73.42,clear sky,47.1167,51.8833,River Palace Hotel
38,Watertown,US,96.03,few clouds,42.3709,-71.1828,16 Washburn Street Watertown MA
39,East London,ZA,67.3,light rain,-33.0153,27.9116,Tu Casa
40,Flinders,AU,53.19,few clouds,-34.5833,150.8552,Shellharbour Resort & Conference Centre
41,Busselton,AU,57.27,overcast clouds,-33.65,115.3333,Observatory Guest House
42,Huanren,CN,73.99,overcast clouds,41.2647,125.3667,Dynasty Wunvshan Ice Chateau
43,Cap Malheureux,MU,66.47,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
44,Cape Town,ZA,56.26,broken clouds,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
45,Bethel,US,90.86,clear sky,41.3712,-73.414,Courtyard by Marriott Danbury
46,Kaitangata,NZ,40.91,broken clouds,-46.2817,169.8464,Kaitangata Motor Camp
47,Tepalcatepec,MX,91.4,overcast clouds,19.1833,-102.85,Maria De Jesus
49,Atuona,PF,76.91,overcast clouds,-9.8,-139.0333,Villa Enata
50,Beyneu,KZ,79.68,clear sky,45.3167,55.2,NUR
51,Codrington,AU,38.26,clear sky,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
52,San Patricio,US,95.72,broken clouds,28.017,-97.5169,"Motel 6 Sinton, TX"
53,Cuzdrioara,RO,74.25,scattered clouds,47.1667,23.9167,Sun Garden Therme
54,Bluff,NZ,36.81,scattered clouds,-46.6,168.3333,Bluff Homestead - Guesthouse & Campervan Park
55,Puerto Ayora,EC,76.96,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
57,San Juan,AR,42.46,overcast clouds,-31.5375,-68.5364,Hotel Provincial
58,Pevek,RU,32.45,overcast clouds,69.7008,170.3133,Severnoye Zoloto
59,Flin Flon,CA,75.04,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
61,Yamada,JP,78.19,overcast clouds,39.4667,141.95,Iroha-ya Inn
62,Joshimath,IN,70.74,overcast clouds,30.5667,79.5667,Shivalik Camps & Resort
63,Barrow,US,44.62,overcast clouds,71.2906,-156.7887,King Eider Inn
64,Segovia,ES,72.9,clear sky,41.1667,-4.0,Complejo de turismo Rural A Toca
65,Hilo,US,90.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
66,Torbay,CA,75.97,broken clouds,47.6666,-52.7314,Gallows Cove
67,Yellowknife,CA,63.12,broken clouds,62.456,-114.3525,The Explorer Hotel
68,Shingu,JP,81.12,broken clouds,33.7333,135.9833,Shingu UI Hotel
70,Jalu,LY,80.87,clear sky,29.0331,21.5482,صاحبة الفخامة
71,Gisborne,NZ,52.32,overcast clouds,-38.6533,178.0042,ASURE Alfresco Motor Lodge
72,Asyut,EG,87.98,clear sky,27.181,31.1837,فندق ميس إيجيبت Miss Egypt Hotel
73,Harper,LR,73.76,overcast clouds,4.375,-7.7169,Screensaver
75,Tiksi,RU,46.29,light rain,71.6872,128.8694,Arktika
76,Cabo San Lucas,MX,90.18,broken clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
77,Port Hardy,CA,62.78,few clouds,50.6996,-127.4199,Airport Inn-Port Hardy
78,Simao,CN,62.67,scattered clouds,22.7886,100.9748,Changyu Hotel
80,Longyearbyen,SJ,46.24,broken clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
81,Esperance,AU,48.63,clear sky,-33.8667,121.9,Hospitality Esperance
82,Katobu,ID,72.28,broken clouds,-4.9408,122.5276,La Ode Husein
83,Saint-Philippe,RE,67.59,few clouds,-21.3585,55.7679,Le four à pain
84,Fujin,CN,68.27,broken clouds,47.26,132.0322,Xilong Hotel Fujin Shop
85,Upernavik,GL,42.46,broken clouds,72.7868,-56.1549,Café de Upernavik
86,Hithadhoo,MV,81.61,overcast clouds,-0.6,73.0833,Scoop Guest House
87,Bubaque,GW,79.61,light rain,11.2833,-15.8333,"Casa Dora, Bubaque"
89,Vaini,TO,78.96,scattered clouds,-21.2,-175.2,Keleti Beach Resort
91,Mayumba,GA,67.37,broken clouds,-3.432,10.6554,LIKWALE LODGE
92,Olafsvik,IS,51.24,light rain,64.8945,-23.7142,Hotel Olafsvik
93,Ratnagiri,IN,78.21,overcast clouds,16.9833,73.3,Hotel Landmark
94,Arequipa,PE,66.27,clear sky,-16.3989,-71.535,Casa de Avila Hotel
95,Marienburg,PL,60.89,scattered clouds,54.0359,19.0266,Hotel Centrum Malbork
96,Iqaluit,CA,46.13,scattered clouds,63.7506,-68.5145,Frobisher Inn
97,Peace River,CA,79.11,broken clouds,56.2501,-117.286,BCMInns - Peace River
