City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hermanus,ZA,-34.4187,19.2345,49.8,86,54,2.33,broken clouds
1,Panguna,PG,-6.3164,155.4848,74.41,82,78,1.14,broken clouds
2,Norman Wells,CA,65.282,-126.8329,66.24,52,75,11.5,broken clouds
3,Awka,NG,6.2101,7.0741,73.09,95,78,5.97,light rain
4,Ushuaia,AR,-54.8,-68.3,38.86,65,0,11.5,clear sky
5,Kaeo,NZ,-35.1,173.7833,53.33,98,16,5.61,few clouds
6,Dikson,RU,73.5069,80.5464,42.04,100,100,9.95,light rain
7,Hualmay,PE,-11.0964,-77.6139,63.63,78,58,12.77,broken clouds
8,Estelle,US,29.8458,-90.1067,91.0,65,75,6.91,broken clouds
9,Ribeira Grande,PT,38.5167,-28.7,74.46,83,28,15.59,light rain
10,Bredasdorp,ZA,-34.5322,20.0403,53.42,94,22,4.63,few clouds
11,Mar Del Plata,AR,-38.0023,-57.5575,47.08,83,40,6.91,scattered clouds
12,Lagoa,PT,39.05,-27.9833,73.81,82,14,17.6,light rain
13,Leningradskiy,RU,69.3833,178.4167,32.45,96,100,20.8,light snow
14,Mataura,NZ,-46.1927,168.8643,36.48,76,9,7.52,clear sky
15,Kamien Pomorski,PL,53.9685,14.7726,59.36,72,30,5.03,scattered clouds
16,Arraial Do Cabo,BR,-22.9661,-42.0278,73.36,83,100,4.61,light rain
17,Honiara,SB,-9.4333,159.95,82.83,73,93,1.39,overcast clouds
18,Port Elizabeth,ZA,-33.918,25.5701,61.32,99,100,10.36,light intensity drizzle
19,Port Alfred,ZA,-33.5906,26.891,61.18,97,96,3.0,overcast clouds
20,Lerwick,GB,60.1545,-1.1494,53.6,91,100,8.68,overcast clouds
21,Langham,CA,52.3668,-106.9679,82.24,34,63,12.88,broken clouds
22,Butaritari,KI,3.0707,172.7902,82.0,70,100,15.61,overcast clouds
23,Kapaa,US,22.0752,-159.319,82.72,77,75,11.5,broken clouds
24,Aklavik,CA,68.2191,-135.0107,52.65,63,97,5.17,overcast clouds
25,Ponta Do Sol,PT,32.6667,-17.1,72.72,81,1,3.42,clear sky
26,Mnogovershinnyy,RU,53.9353,139.9242,58.89,98,100,3.58,overcast clouds
27,Hirara,JP,24.8,125.2833,84.2,75,7,11.56,clear sky
28,Lavrentiya,RU,65.5833,-171.0,36.97,86,100,14.83,moderate rain
